Sexo;Edad;Renta anual neta media por persona y por unidad de consumo;Periodo;Total
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2021;10.903
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2020;11.031
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2019;10.345
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2018;10.156
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2017;9.815
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2016;9.373
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2015;8.935
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2014;9.004
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2013;9.438
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2012;9.727
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2011;10.032
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2010;10.651
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2009;10.797
Ambos sexos;De 16 a 29 años;Renta neta media por persona;2008;10.321
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2024;20.853
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2023;19.735
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2022;18.019
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2021;16.828
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2020;16.967
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2019;15.907
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2018;15.514
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2017;15.043
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2016;14.413
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2015;13.782
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2014;13.829
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2013;14.438
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2012;14.896
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2011;15.418
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2010;16.306
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2009;16.625
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo;2008;15.918
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2024;14.922
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2023;14.328
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2022;13.156
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2021;12.353
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2020;12.435
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2019;11.666
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2018;11.487
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2017;11.129
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2016;10.583
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2015;10.091
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2014;10.159
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2013;10.512
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2012;10.843
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2011;11.256
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2010;11.878
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2009;11.873
Ambos sexos;De 16 a 29 años;Renta media por persona (con alquiler imputado);2008;11.390
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2024;23.070
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2023;22.006
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2022;20.294
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2021;19.020
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2020;19.090
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2019;17.897
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2018;17.519
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2017;17.023
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2016;16.256
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2015;15.545
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2014;15.584
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2013;16.051
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2012;16.561
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2011;17.246
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2010;18.140
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2009;18.248
Ambos sexos;De 16 a 29 años;Renta media por unidad de consumo (con alquiler imputado);2008;17.548
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2024;14.907
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2023;14.078
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2022;12.974
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2021;12.012
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2020;12.053
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2019;11.422
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2018;11.397
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2017;11.040
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2016;10.536
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2015;10.353
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2014;10.348
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2013;10.543
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2012;10.912
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2011;11.106
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2010;11.480
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2009;11.687
Ambos sexos;De 30 a 44 años;Renta neta media por persona;2008;11.024
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2024;21.913
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2023;20.876
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2022;19.343
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2021;17.994
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2020;18.080
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2019;17.268
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2018;17.334
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2017;16.697
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2016;15.886
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2015;15.534
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2014;15.641
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2013;15.873
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2012;16.468
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2011;16.795
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2010;17.352
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2009;17.690
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo;2008;16.673
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2024;16.576
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2023;15.782
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2022;14.732
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2021;13.691
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2020;13.702
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2019;12.985
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2018;12.890
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2017;12.507
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2016;11.873
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2015;11.663
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2014;11.644
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2013;11.747
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2012;12.178
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2011;12.498
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2010;12.888
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2009;12.866
Ambos sexos;De 30 a 44 años;Renta media por persona (con alquiler imputado);2008;12.250
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2024;24.278
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2023;23.300
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2022;21.873
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2021;20.416
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2020;20.462
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2019;19.550
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2018;19.533
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2017;18.831
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2016;17.838
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2015;17.435
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2014;17.537
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2013;17.630
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2012;18.298
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2011;18.838
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2010;19.407
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2009;19.431
Ambos sexos;De 30 a 44 años;Renta media por unidad de consumo (con alquiler imputado);2008;18.493
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2024;15.876
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2023;15.251
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2022;14.225
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2021;13.373
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2020;13.626
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2019;12.988
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2018;12.550
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2017;12.311
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2016;11.931
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2015;11.591
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2014;11.626
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2013;11.921
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2012;12.270
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2011;12.374
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2010;13.047
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2009;12.906
Ambos sexos;De 45 a 64 años;Renta neta media por persona;2008;12.413
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2024;22.947
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2023;21.943
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2022;20.502
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2021;19.272
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2020;19.522
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2019;18.668
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2018;18.040
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2017;17.659
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2016;17.090
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2015;16.623
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2014;16.659
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2013;17.133
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2012;17.699
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2011;17.943
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2010;18.934
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2009;18.847
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo;2008;18.186
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2024;18.105
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2023;17.475
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2022;16.439
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2021;15.522
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2020;15.727
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2019;15.006
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2018;14.547
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2017;14.244
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2016;13.752
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2015;13.327
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2014;13.459
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2013;13.610
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2012;14.028
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2011;14.228
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2010;14.938
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2009;14.644
Ambos sexos;De 45 a 64 años;Renta media por persona (con alquiler imputado);2008;14.171
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2024;25.997
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2023;24.991
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2022;23.548
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2021;22.224
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2020;22.399
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2019;21.446
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2018;20.791
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2017;20.319
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2016;19.585
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2015;19.009
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2014;19.168
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2013;19.455
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2012;20.120
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2011;20.510
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2010;21.547
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2009;21.260
Ambos sexos;De 45 a 64 años;Renta media por unidad de consumo (con alquiler imputado);2008;20.643
Ambos sexos;65 y más años;Renta neta media por persona;2024;17.208
Ambos sexos;65 y más años;Renta neta media por persona;2023;16.185
Ambos sexos;65 y más años;Renta neta media por persona;2022;14.762
Ambos sexos;65 y más años;Renta neta media por persona;2021;14.426
Ambos sexos;65 y más años;Renta neta media por persona;2020;14.132
Ambos sexos;65 y más años;Renta neta media por persona;2019;13.315
Ambos sexos;65 y más años;Renta neta media por persona;2018;12.758
Ambos sexos;65 y más años;Renta neta media por persona;2017;12.528
Ambos sexos;65 y más años;Renta neta media por persona;2016;12.416
Ambos sexos;65 y más años;Renta neta media por persona;2015;12.206
Ambos sexos;65 y más años;Renta neta media por persona;2014;12.183
Ambos sexos;65 y más años;Renta neta media por persona;2013;11.960
Ambos sexos;65 y más años;Renta neta media por persona;2012;11.867
Ambos sexos;65 y más años;Renta neta media por persona;2011;11.463
Ambos sexos;65 y más años;Renta neta media por persona;2010;11.783
Ambos sexos;65 y más años;Renta neta media por persona;2009;11.685
Ambos sexos;65 y más años;Renta neta media por persona;2008;10.893
Ambos sexos;65 y más años;Renta media por unidad de consumo;2024;22.464
Ambos sexos;65 y más años;Renta media por unidad de consumo;2023;20.938
Ambos sexos;65 y más años;Renta media por unidad de consumo;2022;19.009
Ambos sexos;65 y más años;Renta media por unidad de consumo;2021;18.685
Ambos sexos;65 y más años;Renta media por unidad de consumo;2020;18.304
